2026-04-27 18:02:08.107 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 18:02:08.139 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:08.139 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:08.139540722
2026-04-27 18:02:08.139 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.150 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 11ms
2026-04-27 18:02:08.263 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:08.264 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:08.264200380
2026-04-27 18:02:08.264 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.273 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ucProject in project BLE_MCU. Elapsed time: 425ms
2026-04-27 18:02:08.273 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ucProject to project BLE_MCU: 18:02:08.273567417
2026-04-27 18:02:08.273 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ucProject in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.274 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 10ms
2026-04-27 18:02:08.389 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:08.389 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:08.389339224
2026-04-27 18:02:08.389 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.397 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
